Student_ID,Class,Age,Gender,Income,Caste,Parents_Edu,Parents_Occ,HH_Size,First_Gen,Electricity,Internet,Distance_km,Transport,Total_Days,Days_Present,Attendance_%,Monthly_Avg_Att,Prev_%,Midday,Scholarship,Tuition
MR00040,9,14,Female,18000,General,Secondary,Labourer,8,Yes,Yes,Yes,3,Yes,220,160,72.7,72,45,Yes,Yes,No
MR00041,8,13,Female,8000,General,Secondary,Shopkeeper,6,No,No,No,3,Yes,220,179,81.4,81,69,Yes,No,Yes
MR00042,8,13,Male,12000,ST,Graduate,Driver,6,No,Yes,Yes,7,No,220,125,56.8,56,68,Yes,Yes,Yes
MR00043,6,11,Female,8000,OBC,Secondary,Driver,4,No,No,Yes,7,Yes,220,187,85,85,74,Yes,Yes,No
MR00044,10,15,Female,15000,ST,Graduate,Clerk,7,Yes,No,No,6,No,220,164,74.5,74,71,Yes,No,Yes
MR00045,8,13,Female,7000,SC,Graduate,Driver,8,No,Yes,Yes,6,Yes,220,173,78.6,78,63,Yes,Yes,Yes
MR00046,6,11,Male,8000,ST,Primary,Shopkeeper,4,Yes,Yes,Yes,7,No,220,188,85.5,85,47,Yes,Yes,No
MR00047,10,15,Male,18000,OBC,Graduate,Clerk,4,Yes,Yes,No,3,Yes,220,198,90,90,50,Yes,No,No
MR00048,10,15,Female,12000,SC,Primary,Farmer,6,No,No,Yes,3,Yes,220,199,90.5,90,53,Yes,No,No
MR00049,10,15,Male,6000,OBC,Primary,Driver,4,Yes,Yes,No,1,Yes,220,137,62.3,62,48,Yes,No,No
MR00050,10,15,Female,6000,ST,Secondary,Driver,8,Yes,Yes,No,3,Yes,220,128,58.2,58,61,Yes,Yes,No
MR00051,7,12,Female,8000,OBC,Secondary,Labourer,5,No,Yes,No,3,Yes,220,160,72.7,72,43,Yes,Yes,Yes
MR00052,8,13,Male,5000,SC,None,Shopkeeper,8,No,Yes,No,5,Yes,220,203,92.3,92,41,Yes,No,Yes
MR00053,7,12,Male,18000,OBC,Secondary,Labourer,4,No,Yes,No,4,No,220,139,63.2,63,75,Yes,Yes,Yes
MR00054,7,12,Male,6000,ST,Primary,Clerk,5,Yes,No,Yes,6,Yes,220,202,91.8,91,55,Yes,Yes,No
MR00055,9,14,Female,12000,General,Secondary,Shopkeeper,7,No,Yes,Yes,5,Yes,220,151,68.6,68,48,Yes,No,Yes
MR00056,7,12,Male,7000,OBC,Graduate,Labourer,6,No,Yes,Yes,6,No,220,152,69.1,69,61,Yes,Yes,Yes
MR00057,9,14,Male,12000,ST,None,Shopkeeper,4,No,Yes,No,2,Yes,220,145,65.9,65,59,Yes,Yes,No
MR00058,9,14,Female,12000,ST,Primary,Shopkeeper,4,Yes,Yes,No,5,Yes,220,196,89.1,89,49,Yes,No,No
MR00059,9,14,Female,12000,General,None,Farmer,5,Yes,Yes,Yes,1,Yes,220,136,61.8,61,72,Yes,Yes,No
MR00060,8,13,Female,7000,OBC,Graduate,Shopkeeper,8,Yes,No,No,5,Yes,220,189,85.9,85,41,Yes,Yes,No
MR00061,6,11,Female,7000,OBC,Primary,Farmer,5,Yes,Yes,Yes,5,No,220,179,81.4,81,58,Yes,No,No
MR00062,6,11,Male,18000,General,None,Farmer,6,Yes,Yes,No,4,Yes,220,135,61.4,61,69,Yes,No,Yes
MR00063,8,13,Female,7000,General,None,Farmer,6,No,No,Yes,5,Yes,220,175,79.5,79,44,Yes,Yes,Yes
MR00064,7,12,Male,5000,ST,None,Farmer,6,No,No,Yes,1,Yes,220,143,65,65,48,Yes,No,No
MR00065,7,12,Male,12000,SC,None,Clerk,8,Yes,Yes,No,1,Yes,220,209,95,95,75,Yes,No,No
MR00066,8,13,Male,18000,ST,Primary,Labourer,4,Yes,No,Yes,6,Yes,220,135,61.4,61,62,Yes,No,Yes
MR00067,9,14,Male,7000,OBC,None,Farmer,7,Yes,Yes,No,5,Yes,220,175,79.5,79,74,Yes,No,Yes
MR00068,7,12,Male,8000,OBC,Secondary,Farmer,4,No,Yes,No,1,Yes,220,207,94.1,94,51,Yes,No,Yes
MR00069,9,14,Male,18000,SC,Primary,Driver,5,No,No,Yes,2,Yes,220,125,56.8,56,69,Yes,Yes,No
MR00070,7,12,Male,7000,ST,Graduate,Shopkeeper,7,Yes,No,Yes,1,Yes,220,204,92.7,92,60,Yes,Yes,No
MR00071,8,13,Female,18000,OBC,None,Shopkeeper,4,No,No,Yes,6,No,220,163,74.1,74,64,Yes,Yes,No
MR00072,8,13,Female,18000,ST,Graduate,Clerk,5,Yes,No,Yes,2,Yes,220,125,56.8,56,57,Yes,No,No
MR00073,8,13,Female,18000,General,None,Clerk,8,No,Yes,Yes,7,Yes,220,196,89.1,89,43,Yes,Yes,Yes
MR00074,7,12,Female,15000,SC,Graduate,Driver,6,Yes,Yes,Yes,1,Yes,220,209,95,95,72,Yes,No,No
MR00075,8,13,Female,15000,General,Primary,Clerk,8,No,No,Yes,6,Yes,220,169,76.8,76,52,Yes,No,No
MR00076,10,15,Female,6000,OBC,None,Farmer,7,No,No,No,6,Yes,220,134,60.9,60,67,Yes,Yes,No
MR00077,6,11,Male,15000,ST,Secondary,Driver,6,Yes,No,No,3,Yes,220,191,86.8,86,42,Yes,Yes,No
MR00078,9,14,Male,5000,SC,None,Shopkeeper,7,Yes,Yes,No,7,No,220,199,90.5,90,55,Yes,No,Yes
MR00079,9,14,Male,12000,OBC,Secondary,Shopkeeper,4,No,Yes,Yes,3,Yes,220,139,63.2,63,55,Yes,No,Yes
MR00080,10,15,Female,7000,ST,Primary,Clerk,4,Yes,No,Yes,6,No,220,135,61.4,61,52,Yes,No,Yes
MR00081,6,11,Male,6000,General,Primary,Farmer,5,Yes,Yes,Yes,4,Yes,220,185,84.1,84,62,Yes,Yes,Yes
MR00082,8,13,Male,18000,OBC,Graduate,Clerk,7,No,Yes,Yes,3,Yes,220,133,60.5,60,53,Yes,Yes,No
MR00083,6,11,Male,6000,SC,Primary,Shopkeeper,8,No,No,No,2,Yes,220,168,76.4,76,49,Yes,No,No
MR00084,7,12,Male,15000,OBC,Primary,Farmer,4,No,No,No,6,No,220,146,66.4,66,46,Yes,Yes,No
MR00085,7,12,Female,7000,General,Secondary,Shopkeeper,8,No,Yes,No,6,Yes,220,129,58.6,58,45,Yes,No,Yes
MR00086,10,15,Male,5000,General,None,Farmer,8,Yes,Yes,No,7,Yes,220,162,73.6,73,52,Yes,No,No
MR00087,9,14,Female,12000,General,None,Farmer,6,No,Yes,No,6,No,220,209,95,95,54,Yes,No,No
MR00088,6,11,Male,6000,SC,Graduate,Clerk,8,Yes,Yes,No,2,Yes,220,148,67.3,67,45,Yes,No,No
MR00089,6,11,Female,8000,OBC,Graduate,Labourer,4,No,No,No,6,Yes,220,135,61.4,61,66,Yes,Yes,No
MR00090,7,12,Male,6000,OBC,Graduate,Clerk,7,No,Yes,No,5,No,220,159,72.3,72,65,Yes,No,No
MR00091,9,14,Female,12000,OBC,Graduate,Clerk,8,Yes,No,Yes,2,Yes,220,152,69.1,69,75,Yes,No,Yes
MR00092,7,12,Male,5000,General,Graduate,Labourer,5,Yes,Yes,Yes,3,Yes,220,188,85.5,85,66,Yes,Yes,No
MR00093,8,13,Male,7000,General,Graduate,Shopkeeper,6,No,No,No,4,No,220,132,60,60,51,Yes,No,Yes
MR00094,9,14,Female,18000,SC,Secondary,Driver,5,Yes,No,No,2,Yes,220,161,73.2,73,51,Yes,Yes,Yes
MR00095,8,13,Male,15000,ST,Secondary,Driver,6,Yes,Yes,Yes,6,No,220,150,68.2,68,42,Yes,No,No
MR00096,6,11,Female,6000,ST,Primary,Clerk,5,No,Yes,No,5,No,220,121,55,55,65,Yes,No,Yes
MR00097,10,15,Female,15000,ST,Primary,Clerk,7,Yes,Yes,No,4,No,220,198,90,90,72,Yes,No,No
MR00098,10,15,Male,15000,SC,None,Shopkeeper,8,No,Yes,Yes,5,No,220,165,75,75,42,Yes,Yes,No
MR00099,10,15,Male,12000,ST,None,Labourer,6,Yes,Yes,No,4,Yes,220,123,55.9,55,59,Yes,No,No
MR00100,8,13,Female,7000,SC,Primary,Clerk,7,No,No,No,2,Yes,220,196,89.1,89,63,Yes,No,Yes
MR00101,10,15,Male,15000,SC,Secondary,Clerk,7,No,Yes,No,4,No,220,201,91.4,91,69,Yes,No,Yes
MR00102,10,15,Male,15000,SC,Graduate,Driver,8,Yes,No,No,5,Yes,220,142,64.5,64,73,Yes,No,Yes
MR00103,8,13,Male,15000,SC,Secondary,Shopkeeper,5,Yes,No,No,7,No,220,180,81.8,81,48,Yes,Yes,Yes
MR00104,6,11,Male,8000,General,Secondary,Labourer,6,No,Yes,No,4,Yes,220,138,62.7,62,40,Yes,Yes,Yes
MR00105,7,12,Female,8000,ST,Secondary,Farmer,5,Yes,No,Yes,2,Yes,220,166,75.5,75,64,Yes,No,No
MR00106,8,13,Male,15000,ST,Graduate,Driver,8,No,Yes,No,4,No,220,124,56.4,56,73,Yes,Yes,No
MR00107,8,13,Female,12000,SC,Primary,Farmer,6,Yes,Yes,Yes,3,Yes,220,172,78.2,78,65,Yes,No,No
MR00108,6,11,Male,18000,SC,Primary,Clerk,4,No,Yes,Yes,3,Yes,220,205,93.2,93,71,Yes,No,Yes
MR00109,9,14,Female,15000,OBC,Primary,Labourer,6,No,No,Yes,3,Yes,220,190,86.4,86,56,Yes,No,Yes
MR00110,9,14,Male,6000,OBC,Graduate,Driver,4,Yes,No,No,1,Yes,220,126,57.3,57,55,Yes,No,Yes
MR00111,8,13,Female,6000,OBC,Primary,Clerk,6,No,No,Yes,4,No,220,150,68.2,68,57,Yes,No,Yes
MR00112,9,14,Male,15000,SC,None,Driver,5,No,No,Yes,1,Yes,220,196,89.1,89,62,Yes,Yes,Yes
MR00113,9,14,Male,15000,ST,Secondary,Shopkeeper,6,Yes,Yes,No,4,Yes,220,193,87.7,87,56,Yes,Yes,Yes
MR00114,9,14,Male,7000,General,Secondary,Driver,5,Yes,No,No,1,Yes,220,151,68.6,68,73,Yes,Yes,Yes
MR00115,8,13,Male,12000,OBC,Graduate,Farmer,5,No,No,No,3,Yes,220,137,62.3,62,58,Yes,Yes,Yes
MR00116,6,11,Female,5000,ST,Primary,Labourer,4,Yes,Yes,No,7,No,220,180,81.8,81,44,Yes,Yes,Yes
MR00117,9,14,Female,15000,ST,Primary,Driver,6,No,Yes,Yes,2,Yes,220,152,69.1,69,60,Yes,Yes,Yes
MR00118,9,14,Male,5000,OBC,Graduate,Clerk,5,No,No,No,7,No,220,176,80,80,65,Yes,No,Yes
MR00119,9,14,Male,6000,OBC,Secondary,Labourer,8,No,No,Yes,2,Yes,220,182,82.7,82,63,Yes,Yes,Yes
MR00120,7,12,Female,6000,General,Graduate,Shopkeeper,4,Yes,Yes,Yes,7,Yes,220,151,68.6,68,71,Yes,No,Yes
MR00121,6,11,Male,5000,General,None,Clerk,6,No,No,No,5,Yes,220,172,78.2,78,74,Yes,Yes,No
MR00122,10,15,Male,8000,ST,Graduate,Driver,5,No,No,Yes,7,No,220,161,73.2,73,40,Yes,No,No
MR00123,7,12,Male,8000,SC,None,Shopkeeper,4,No,No,Yes,5,Yes,220,204,92.7,92,45,Yes,Yes,No
MR00124,9,14,Female,7000,OBC,Graduate,Farmer,6,Yes,Yes,Yes,4,No,220,207,94.1,94,58,Yes,No,No
MR00125,7,12,Female,6000,OBC,Primary,Farmer,8,Yes,No,Yes,3,Yes,220,121,55,55,70,Yes,Yes,No
MR00126,7,12,Male,6000,OBC,None,Clerk,7,No,Yes,Yes,1,Yes,220,185,84.1,84,57,Yes,Yes,Yes
MR00127,8,13,Male,18000,General,None,Clerk,4,Yes,No,No,4,No,220,192,87.3,87,42,Yes,Yes,Yes
MR00128,6,11,Female,5000,SC,None,Shopkeeper,8,Yes,No,Yes,4,No,220,137,62.3,62,48,Yes,Yes,Yes
MR00129,7,12,Male,8000,ST,Graduate,Shopkeeper,7,No,Yes,No,3,Yes,220,170,77.3,77,48,Yes,No,Yes
MR00130,7,12,Female,5000,General,None,Driver,7,No,Yes,No,3,Yes,220,128,58.2,58,65,Yes,No,No
MR00131,7,12,Male,18000,General,None,Clerk,5,No,Yes,Yes,1,Yes,220,132,60,60,42,Yes,Yes,No
MR00132,10,15,Male,15000,ST,Graduate,Clerk,6,Yes,No,No,3,Yes,220,120,54.5,54,42,Yes,Yes,Yes
MR00133,7,12,Female,15000,OBC,Graduate,Clerk,4,No,No,Yes,4,Yes,220,188,85.5,85,72,Yes,Yes,Yes
MR00134,7,12,Female,5000,General,Graduate,Shopkeeper,4,No,Yes,No,5,No,220,121,55,55,73,Yes,No,No
MR00135,9,14,Male,18000,ST,Graduate,Farmer,8,Yes,No,No,6,No,220,144,65.5,65,48,Yes,No,Yes
MR00136,10,15,Female,6000,SC,Primary,Driver,6,Yes,No,Yes,5,Yes,220,142,64.5,64,43,Yes,No,No
MR00137,7,12,Female,18000,ST,None,Farmer,8,No,Yes,Yes,1,Yes,220,137,62.3,62,53,Yes,No,No
MR00138,10,15,Female,18000,OBC,Graduate,Labourer,5,No,No,No,7,Yes,220,147,66.8,66,69,Yes,Yes,No
MR00139,9,14,Male,18000,SC,Primary,Labourer,7,Yes,No,No,3,Yes,220,178,80.9,80,47,Yes,Yes,Yes
MR00140,6,11,Male,7000,OBC,Graduate,Labourer,7,No,No,Yes,6,Yes,220,166,75.5,75,72,Yes,Yes,Yes
MR00141,7,12,Male,12000,ST,Graduate,Farmer,8,Yes,Yes,Yes,7,Yes,220,189,85.9,85,73,Yes,No,Yes
MR00142,7,12,Female,15000,SC,None,Driver,8,Yes,No,Yes,3,Yes,220,185,84.1,84,67,Yes,No,No
MR00143,7,12,Female,7000,General,Secondary,Farmer,6,Yes,Yes,Yes,6,Yes,220,198,90,90,53,Yes,No,No
MR00144,9,14,Female,6000,General,Primary,Labourer,8,Yes,No,No,5,No,220,182,82.7,82,54,Yes,No,No
MR00145,6,11,Male,7000,General,Primary,Shopkeeper,8,No,No,No,3,Yes,220,197,89.5,89,67,Yes,Yes,No
MR00146,8,13,Female,8000,SC,None,Labourer,5,No,No,No,1,Yes,220,185,84.1,84,74,Yes,Yes,Yes
MR00147,9,14,Female,8000,ST,Secondary,Driver,5,Yes,No,Yes,2,Yes,220,122,55.5,55,66,Yes,Yes,No
MR00148,7,12,Female,5000,OBC,Primary,Farmer,7,Yes,Yes,No,4,Yes,220,145,65.9,65,56,Yes,No,Yes
MR00149,7,12,Female,18000,SC,Secondary,Shopkeeper,7,Yes,Yes,No,4,No,220,209,95,95,72,Yes,Yes,Yes
MR00150,10,15,Male,5000,General,Secondary,Labourer,8,No,Yes,Yes,6,Yes,220,141,64.1,64,73,Yes,Yes,No
MR00151,7,12,Male,7000,SC,None,Shopkeeper,7,Yes,No,No,1,Yes,220,171,77.7,77,52,Yes,Yes,Yes
MR00152,8,13,Female,12000,ST,Graduate,Driver,8,No,Yes,No,7,Yes,220,152,69.1,69,58,Yes,No,No
MR00153,9,14,Female,8000,OBC,Primary,Farmer,7,No,Yes,Yes,6,Yes,220,144,65.5,65,69,Yes,No,No
MR00154,9,14,Female,8000,ST,None,Farmer,4,Yes,No,Yes,7,Yes,220,187,85,85,67,Yes,Yes,Yes
MR00155,7,12,Female,5000,OBC,Secondary,Farmer,4,Yes,No,No,6,Yes,220,151,68.6,68,52,Yes,Yes,No
MR00156,10,15,Female,15000,OBC,Secondary,Labourer,7,Yes,No,Yes,7,No,220,143,65,65,64,Yes,Yes,Yes
MR00157,9,14,Female,5000,OBC,Secondary,Shopkeeper,7,Yes,Yes,No,3,Yes,220,173,78.6,78,44,Yes,No,No
MR00158,10,15,Male,12000,ST,Graduate,Farmer,7,No,Yes,Yes,2,Yes,220,165,75,75,53,Yes,No,No
MR00159,7,12,Female,6000,SC,Graduate,Labourer,8,No,No,Yes,5,No,220,208,94.5,94,67,Yes,No,Yes
MR00160,10,15,Female,12000,OBC,Secondary,Shopkeeper,6,Yes,No,No,2,Yes,220,204,92.7,92,61,Yes,Yes,Yes
MR00161,6,11,Female,7000,General,Primary,Clerk,8,Yes,No,No,2,Yes,220,152,69.1,69,66,Yes,No,No
MR00162,9,14,Female,18000,General,Primary,Labourer,4,No,No,No,1,Yes,220,199,90.5,90,48,Yes,No,No
MR00163,10,15,Female,7000,OBC,Primary,Farmer,8,Yes,No,Yes,7,No,220,165,75,75,56,Yes,Yes,No
MR00164,9,14,Female,8000,OBC,None,Labourer,8,No,Yes,Yes,7,No,220,124,56.4,56,51,Yes,No,Yes
MR00165,10,15,Female,6000,ST,Secondary,Shopkeeper,6,No,Yes,Yes,4,No,220,178,80.9,80,67,Yes,No,Yes
MR00166,9,14,Male,8000,SC,None,Clerk,8,No,Yes,Yes,3,Yes,220,159,72.3,72,51,Yes,No,No
MR00167,8,13,Female,18000,OBC,Primary,Clerk,4,No,Yes,No,4,Yes,220,171,77.7,77,64,Yes,Yes,Yes
MR00168,10,15,Male,12000,OBC,None,Labourer,4,Yes,Yes,No,2,Yes,220,164,74.5,74,57,Yes,No,No
MR00169,9,14,Female,5000,ST,None,Driver,8,Yes,Yes,No,6,No,220,153,69.5,69,72,Yes,No,Yes
MR00170,7,12,Female,8000,OBC,None,Driver,6,Yes,No,No,5,Yes,220,191,86.8,86,45,Yes,Yes,Yes
MR00171,8,13,Female,8000,OBC,Secondary,Shopkeeper,6,No,Yes,No,1,Yes,220,149,67.7,67,48,Yes,Yes,No
MR00172,9,14,Female,7000,OBC,Primary,Shopkeeper,6,No,No,No,3,Yes,220,136,61.8,61,64,Yes,Yes,Yes
MR00173,9,14,Male,7000,OBC,Graduate,Labourer,5,No,Yes,No,2,Yes,220,165,75,75,55,Yes,Yes,No
MR00174,6,11,Female,6000,SC,Graduate,Driver,6,Yes,No,Yes,3,Yes,220,187,85,85,49,Yes,No,Yes
MR00175,6,11,Male,15000,General,Primary,Driver,4,Yes,No,Yes,2,Yes,220,123,55.9,55,73,Yes,No,No
MR00176,8,13,Male,15000,ST,Secondary,Shopkeeper,4,Yes,Yes,No,4,Yes,220,194,88.2,88,62,Yes,No,Yes
MR00177,10,15,Female,18000,OBC,Primary,Labourer,8,No,Yes,Yes,3,Yes,220,195,88.6,88,62,Yes,Yes,Yes
MR00178,9,14,Female,8000,ST,Secondary,Shopkeeper,8,Yes,No,No,2,Yes,220,210,95.5,95,71,Yes,Yes,No
MR00179,8,13,Female,5000,ST,Secondary,Farmer,4,No,No,Yes,3,Yes,220,156,70.9,70,52,Yes,No,Yes
MR00180,6,11,Male,15000,OBC,Secondary,Labourer,4,No,No,No,4,Yes,220,176,80,80,61,Yes,No,Yes
MR00181,9,14,Male,12000,General,None,Clerk,6,Yes,Yes,Yes,5,Yes,220,200,90.9,90,57,Yes,No,No
MR00182,7,12,Female,8000,ST,Graduate,Labourer,8,Yes,Yes,Yes,5,No,220,157,71.4,71,63,Yes,No,No
MR00183,10,15,Female,5000,General,Secondary,Labourer,7,Yes,Yes,No,1,Yes,220,165,75,75,72,Yes,Yes,Yes
MR00184,7,12,Female,6000,General,None,Labourer,8,Yes,No,No,1,Yes,220,196,89.1,89,54,Yes,Yes,No
MR00185,9,14,Female,15000,ST,Graduate,Farmer,8,Yes,No,No,3,Yes,220,142,64.5,64,73,Yes,Yes,Yes
MR00186,8,13,Female,7000,ST,None,Farmer,7,No,No,No,4,Yes,220,190,86.4,86,75,Yes,No,No
MR00187,10,15,Female,8000,SC,Graduate,Farmer,5,No,Yes,Yes,6,Yes,220,164,74.5,74,74,Yes,Yes,No
MR00188,9,14,Female,8000,ST,Primary,Farmer,6,No,No,No,5,Yes,220,183,83.2,83,48,Yes,No,No
MR00189,9,14,Female,12000,General,Secondary,Driver,7,Yes,Yes,No,5,Yes,220,210,95.5,95,71,Yes,No,No
MR00190,8,13,Female,18000,SC,Primary,Farmer,6,No,Yes,No,2,Yes,220,139,63.2,63,71,Yes,No,No
MR00191,10,15,Female,15000,SC,Graduate,Shopkeeper,5,No,No,Yes,1,Yes,220,125,56.8,56,63,Yes,No,Yes
MR00192,8,13,Male,18000,ST,None,Shopkeeper,5,No,No,No,7,No,220,147,66.8,66,75,Yes,No,No
MR00193,10,15,Male,5000,General,Primary,Clerk,8,No,Yes,No,6,No,220,172,78.2,78,46,Yes,No,Yes
MR00194,10,15,Male,18000,General,Primary,Clerk,6,No,No,No,2,Yes,220,125,56.8,56,42,Yes,Yes,Yes
MR00195,9,14,Male,12000,SC,Secondary,Clerk,5,No,No,No,1,Yes,220,172,78.2,78,66,Yes,No,No
MR00196,8,13,Female,6000,OBC,Primary,Farmer,7,Yes,No,No,3,Yes,220,184,83.6,83,48,Yes,No,Yes
MR00197,6,11,Female,18000,SC,None,Labourer,4,Yes,No,Yes,6,No,220,198,90,90,53,Yes,No,Yes
MR00198,9,14,Male,12000,General,Secondary,Driver,8,Yes,Yes,Yes,7,Yes,220,144,65.5,65,66,Yes,No,Yes
MR00199,7,12,Female,5000,ST,None,Clerk,4,Yes,No,Yes,3,Yes,220,145,65.9,65,70,Yes,No,Yes
MR00200,8,13,Female,8000,General,Secondary,Labourer,6,Yes,No,No,6,Yes,220,209,95,95,40,Yes,Yes,No
MR00201,10,15,Male,8000,SC,Secondary,Driver,7,Yes,Yes,No,7,Yes,220,128,58.2,58,65,Yes,Yes,Yes
MR00202,9,14,Male,18000,General,Secondary,Shopkeeper,5,No,No,Yes,6,Yes,220,201,91.4,91,71,Yes,Yes,Yes
MR00203,10,15,Female,18000,SC,Graduate,Clerk,7,Yes,Yes,Yes,6,Yes,220,131,59.5,59,63,Yes,Yes,No
MR00204,8,13,Male,12000,General,None,Farmer,4,Yes,Yes,Yes,2,Yes,220,174,79.1,79,49,Yes,No,Yes
MR00205,8,13,Female,15000,SC,Graduate,Farmer,7,No,Yes,No,1,Yes,220,160,72.7,72,65,Yes,No,Yes
MR00206,8,13,Male,5000,General,None,Shopkeeper,5,No,Yes,No,3,Yes,220,194,88.2,88,70,Yes,Yes,Yes
MR00207,8,13,Male,18000,ST,None,Clerk,7,No,Yes,Yes,6,Yes,220,128,58.2,58,51,Yes,Yes,Yes
MR00208,9,14,Male,8000,ST,Secondary,Clerk,6,Yes,Yes,Yes,3,Yes,220,126,57.3,57,43,Yes,No,Yes
MR00209,7,12,Male,6000,ST,None,Driver,5,No,Yes,Yes,7,Yes,220,195,88.6,88,43,Yes,Yes,No
